0,1,2,source,0_syllables,1_syllables,2_syllables
saw someone who looks, like Someone and I feel like,a creep for staring,twaiku,5,7,5
Reminding myself, to rest my heart let God and,Karma work things out,twaiku,5,7,5
Whether they beat her, up or just slapped her what the,fuck is difference,twaiku,5,7,"4,5"
stop hating on tom, brady and just admit he's,the G O A T,twaiku,5,7,5
A single child to, his tasks would demand the State,does as I control,twaiku,5,7,5
If the only thing, you can diss someone about,is they clothes they win,twaiku,5,7,5
people say I'm the, life of the party cause I,tell a joke or two,twaiku,5,7,5
God is the Greatest, Thank you for all the blessings,and the gift of life,twaiku,5,7,5
The Last Person on, the Planet Who Still Thinks The,Last Jedi Is Good,twaiku,5,7,5
My new outfits fit, so well I want to buy up,the whole store now lol,twaiku,5,7,5
wonder if buses, get a kick out of taking,the absolute piss,twaiku,5,7,5
Someone please do me, a favor and kill me I'm,over everything,twaiku,5,7,5
How about people, just block Trump if they don't like,him and STOP BITCHING,twaiku,5,7,5
A person will hate, you you'll never know because,there's no reason to,twaiku,5,7,5
Levels probably, got played an absurd amount,of times this weekend,twaiku,"4,5",7,5
Why is it pronounced, paid but plaid is not pronounced,plaid Paid with an L,twaiku,5,7,5
Had a nap during, the Liverpool game should have,stayed seemed a fun watch,twaiku,5,7,5
Steak cheese eggs biscuit, croissants smothered potatoes,I wanna cook now,twaiku,5,7,5
Fellas That Crazy, Shit Really Turn Y'all Off Or,It's Just Annoying,twaiku,5,7,5
ENG Easily the, most satisfying email,I've read from big Sam,twaiku,5,7,5
These flaming hot lays, taste like BBQ Chips i,hate BBQ CHIPS,twaiku,5,7,5
not today Satan, Claiming tRump is ordained by,God is blasphemy,twaiku,5,7,5
The world doesn't need, any more disregard Be,the person who cares,twaiku,5,7,5
U think it's funny, where I work but u live off,ur moms salary,twaiku,5,7,5
When you wanna beat, somebody ass but you know,they gone press charges,twaiku,5,7,5
Currently sitting, at work trying my hardest,not to fall asleep,twaiku,5,"6,7",5
filming my first time, ever going black friday,shopping kinda scared,twaiku,5,7,5
I'm sorry but your, homeland is a shit hole That,is why you moved here,twaiku,5,7,5
Not a Holden fan, but great to see Lowndes win,A true champion,twaiku,5,"6,7",5
Grey's Anatomy, has taken over my life,i can't stop crying,twaiku,5,7,5
Does Matthew Upson, know that T is a letter,in the alphabet,twaiku,5,7,5
Pandora trying, to tell me to take shots with,the songs is playing,twaiku,"4,5",7,5
Anyone want a, serious relationship,Asking for myself,twaiku,5,7,5
THERE'S AN ARMY ON, THE DANCE FLOOR IT'S A FASHION,WITH A GUN MY LOVE,twaiku,5,7,5
I wonder if there, will be a conservative,coup when Mats away,twaiku,5,7,5
Don't settle for a, big house but allow true love,to lead you back home,twaiku,5,7,5
I've been wearing braids, the whole spring and summer it's,time for some bundles,twaiku,5,"8,7",5
I can't believe I, did it but I did it I,owe it all to God,twaiku,5,7,5
my co worker came, up to me today and asked,is glee a real show,twaiku,5,7,5
Riverdale is the, most toxic relationship,I've ever been in,twaiku,5,7,5
Fall decorations, are here at Ortega Swing,by and check them out,twaiku,5,7,5
Wishing all of my, Jewish friends a lovely Ross,Bagdasarian,twaiku,5,7,5
black mirror ellen, degeneres needs to take,a fucking chill pill,twaiku,5,7,5
I just texted Scott, to record jersey shore what,has my life come to,twaiku,5,7,5
im supposed to feed, it not the equivalent,of paint tool sai and,twaiku,5,7,"5,7"
I want anyone, Star to score but a Jamie,goal please and thank you,twaiku,5,7,5
Sometimes your the lead, sometimes your an extra in,this movie called LIFE,twaiku,5,7,5
imagine i got, stopped by feds for dance driving,dancing and driving,twaiku,5,7,5
I could never see, myself leasing a car and,acting like it's mine,twaiku,5,7,5
Enough pretending, I don't want to know which one,do you see me as,twaiku,5,7,5
nothing is the same, this can't be how it ends this,can't be how it ends,twaiku,5,7,5
If she don't propose, to cook for u after sex,u screwed up my friend,twaiku,5,7,5
just made a risky, tweet bois wish me luck to not,get mass reported,twaiku,5,7,5
Anytime you want, to put your intellect up,against mine I'm in,twaiku,5,7,5
Being called baby, girl does something to my heart,and my vagina,twaiku,5,7,5
he made me pretty, he made me smart im gonna,break a million hearts,twaiku,5,7,5
Before you tell an, adult to sit down grow the,fuck up little girl,twaiku,5,7,5
Broski spending like, cray cray but haven't buy what,he was looking for,twaiku,5,7,5
I'm going to sleep, because I'm very ready,for this day to end,twaiku,5,7,5
happy new year from, nigeria glad we all,reached the finish line,twaiku,5,7,5
don't even try to, tell me that the coraline,soundtrack doesn't SLAP,twaiku,5,7,5
Having someone on, your side on every best,event is priceless,twaiku,5,"6,7",5
We them babies that, like to be tied up and have,our hair pulled on,twaiku,5,7,"4,5"
Middle part slick back, bun is my go to hair style,Always gets me right,twaiku,5,7,5
Fellas i Just breathed, oxygen Pretty good stuff,i'd do it again,twaiku,5,7,5
an admiral is, a pagoda marvellous,but not retreating,twaiku,5,7,5
I'm addicted just, a little bit about the,way he makes me feel,twaiku,5,7,5
Our love was like, a fire and I pissed on,it so I could sleep,twaiku,"4,5","6,7",5
i dunno if im, ready to perform friday,man im so nervous,twaiku,5,7,5
Wait a prance about, stage name unnecessary,inclusion of it,twaiku,5,7,5
If I didn't say, something then don't tell someone,I did PERIOD,twaiku,"4,5",7,5
Most useful part of, the lost owners manual,we need Much obliged,twaiku,5,7,5
I can't believe reign, has a believe tattoo on,the back of her neck,twaiku,5,7,5
Stoops said he didn't, twist any arms to get the,signatures today,twaiku,"4,5",7,5
Ya'll sleep on dollar, general I just racked up,on shit for the house,twaiku,5,"6,7",5
I'M SO EXCITED, FOR THE REPUTATION TOUR,TO START I'M SCREAMING,twaiku,5,7,5
I would probably, be a great Nurse but i can't,do any more school,twaiku,"4,5",7,5
It went behind the, door Will this help I'm getting,out of here What's that,twaiku,5,7,5
Speaks volumes about, how this guy respects women,He simply doesn't,twaiku,5,7,5
I wonder what if, I stayed with the sport I was,born playing with Hmm,twaiku,5,7,4
It shouldn't but it, is the reality When,controls the Senate,twaiku,5,7,5
when kevin to check, on randall and stayed with him,the whole night i'm Fine,twaiku,5,7,5
I'm home Vacation, over I have a headache,I ate all the snacks,twaiku,5,7,5
R A The Rugged, Man had mad flows also still,does actually,twaiku,5,7,"3,4,5"
Yo I legit use, to watch Nascar faithfully,what happened to me,twaiku,5,7,5
Whoever stole my, lotion from my room last night,your grandmas a hoe,twaiku,5,7,5
If you're the only, person trying to make shit,work that's a red flag,twaiku,5,"6,7",5
I wasn't gonna, order from jimmy Johns but,it ordered itself,twaiku,5,7,5
Neither just stop by, and chat for awhile Thanks it,was nice seeing you,twaiku,5,7,5
Need someone to go, shopping with me this weekend,since my friends hate me,twaiku,5,7,5
I'm actually, in a Good Mood Today It's,only Tuesday tho,twaiku,"3,4,5",7,5
I have nightmares of, the scene I witnessed walking,into Whiskey Priest,twaiku,5,7,5
Happy birthday in, heaven poppy I love you,and miss you so much,twaiku,5,7,5
im rewatching got, and i forgot how good the,early seasons were,twaiku,5,7,5
It was a failing, on my part that allowed you,to sever my foot,twaiku,5,7,5
Pizza crust has no, penis You're safe He cannot,believe he said that,twaiku,5,7,5
A liquor store is, a symbol of freedom as,well as slavery,twaiku,5,7,5
be hearing about, what everyone else feel my,friends and thank you did,twaiku,5,7,5
Tom Brady is the, best quarterback to ever,play the game Hands down,twaiku,5,7,5
If anyone is, looking for the lost hour,I found it in bed,twaiku,5,"6,7",5
Ain't nothing about, me worth a damn if I can't,be just who I am,twaiku,5,7,"5,6"
My train got cancelled, who's gonna stay there for more,than one hour now,twaiku,5,7,"4,5"
this one girl really, keeps trying to go viral,on here sis give up,twaiku,5,"6,7",5
Hey Kevin my friend, how r u I'm doing well,Take care of ur self,twaiku,5,7,5
Did I mention that, I follow back Like really,fast most of the time,twaiku,5,7,5
I want to erase, some memories Shitty ones,if only I could,twaiku,5,7,5
I should probably, make it my goal to learn how,to swim this summer,twaiku,"4,5",7,5
You will either be, happy or you will become,wiser take the risk,twaiku,5,7,5
knowing people who, make great quality music,is a gift from God,twaiku,5,7,5
From Yesterday was, my very Mars song Still love,it more than others,twaiku,5,7,5
You've never felt pain, until you've loved someone way,more than they loved you,twaiku,5,7,5
A big player We, don't have that many people,left to bet against,twaiku,5,7,5
So the media, tells the Democrats what to,do No surprise here,twaiku,5,7,5
i can't really do, anything without thinking,of a bad outcome,twaiku,5,7,5
Laughing on a park, bench thinking to myself Hey,isn't this easy,twaiku,5,7,5
I need someone who, just wants to chill watch music,videos all day,twaiku,5,7,5
How's my life going, I just brushed my teeth and then,ate a ham sandwich,twaiku,5,7,5
Mike Evans really, gonna throw a fit like that,knowing he pushed off,twaiku,5,7,5
Bailly na crase man, sha The guy's limbs are always,all over the place,twaiku,5,7,5
sorry but i'm not, gonna stop talking about,the warped tour lineup,twaiku,5,7,5
Don't just inspire to, make a living Inspire to,make a difference,twaiku,5,7,"4,5"
where is Elias, he was supposed to be in,the Battle royal,twaiku,5,7,5
Them other bitches, ain't got shit on Big T and,that's just how I feel,twaiku,5,7,5
The Thomas Davis, slander is getting me riled,up early today,twaiku,5,7,5
Whatever i say, when im high is whatever,i say when im high,twaiku,5,7,5
also is it too, late or too early to get,some Dino nuggets,twaiku,5,7,5
Don't u ever dare, to fucking judge me without,even knowing me,twaiku,5,7,5
i waited so long, to try acid this is such,a beautiful drug,twaiku,5,7,5
Has never been on, the field and doesn't count cause,it's Alabama,twaiku,5,7,5
Gotta figure out, what classes or what major,for next semester,twaiku,5,7,5
It went from summer, to fall real quick I should've,brought a scarf with me,twaiku,5,7,5
Disneyland is where, yo kids on a private jet,when I'm into you,twaiku,5,7,5
I'll say it again, Chevy was brilliant to take,Laine over Matthews,twaiku,5,7,5
I absolutely, love winning games like this I,have missed it so much,twaiku,5,7,5
I always wait too, late to do something or to,stop doing something,twaiku,5,7,5
Gotta find a way, to accidentally hurt,myself on purpose,twaiku,5,7,5
Harley had never, done and the cold emptiness,inside your lover,twaiku,5,7,5
Don't worry I'll do, some annoying sarcasm,to balance it out,twaiku,5,7,5
Confession Things that, be forever Ain't that My,forever Ain't that,twaiku,5,7,5
My Car Getting Towed, Saturday Was Something I,Needed Honestly,twaiku,5,7,5
This is exactly, what you want to hear about,your local pm,twaiku,5,7,5
Waking up in the, morning after binge eating,at night feels like death,twaiku,5,7,5
When artists are so, humble and grounded it's like,the best thing ever,twaiku,5,7,5
People would really, do some crazy shit just to,get your attention,twaiku,5,7,5
Tattoo appointment, on Saturday I want this,shit off me now though,twaiku,5,7,5
Really wanted them, supreme shades Shits are sold out,already I'm hot,twaiku,5,7,5
Chad Focus Feat Flames, x Bishop Get To The Bag,Prod By Oakes Got Hitz,twaiku,5,7,5
Can't believe chris took, some kids sweets and shoved them in,his mouth her poor face,twaiku,5,7,5
Be better want more, and grow from yesterday Its,about that simple,twaiku,5,7,5
DC Turner pick, and pop on full display Good,looks every time,twaiku,5,7,"4,5"
i'm a simple man, i see a poll i steal it,how do you see me,twaiku,5,7,5
My vertical blinds, were short one mounting bracket,How do I get one,twaiku,5,7,5
Honestly Ronnie, is the reason us women,all have trust issues,twaiku,5,"8,7",5
I'm Ivana so, we almost have a same name,so please follow me,twaiku,5,7,5
lu actually, finish a game you started,playing challenge failed,twaiku,"3,4,5",7,5
When bitches wear make, up you gotta kiss em like,they in a casket,twaiku,5,7,5
People try so hard, to be different in LA,it totally shows,twaiku,5,"6,7",5
Texting is a job, and I don't get paid for it,so I'm done with it,twaiku,5,7,5
Oscar Isaac is, so fucking beautiful oh,my god THAT MAN WOW,twaiku,5,7,5
Kurt looking to be, in phenomenal shape but,that fucking glove tho,twaiku,5,7,5
How fitting my last, undergrad class ever is,delayed by a train,twaiku,5,7,5
Note to the future, This is what happens when you,elect Benny Hill,twaiku,5,7,5
I'm just going to, start coming out and being,blunt about things lol,twaiku,5,7,5
My body knows I, work soon and I still woke up,the ass crack of dawn,twaiku,5,7,5
I am an hour, and a half early for my,doctors appointment,twaiku,"4,5,6",7,5
think triple h was, worrying about burning,himself on that bike,twaiku,5,7,5
Got some next level, cold flu going on me it's,proper done me in,twaiku,5,7,5
Feel guilty moving, into the shade for this next,race but dang it's hot,twaiku,5,7,5
This is so funny, to me I actually,started crying ask,twaiku,5,"5,6,7",5
Fuck yo designer, on my momma I get fly,without them labels,twaiku,5,7,5
You know sometimes when, I sit and the more I think,about it the more,twaiku,5,7,5
Cancelling Luke Cage, is going to hurt them more,than they realize,twaiku,"4,5",7,5
If you don't wanna, talk to me at least put me,on one of your friends,twaiku,5,7,5
Lord my foot hurting, so bad I'm bout to cry like,a Lil Lil Lil bitch,twaiku,5,7,5
The Tennessee game, didn't teach you enough to,not bail at the half,twaiku,5,"6,7",5
